location,stateCode,directorMin,directorMax,directorTrend,seniorManagerMin,seniorManagerMax,seniorManagerTrend,managerMin,managerMax,managerTrend,seniorEstimatorMin,seniorEstimatorMax,seniorEstimatorTrend,estimatorMin,estimatorMax,estimatorTrend,juniorMin,juniorMax,juniorTrend,ptoDays,bonusPercent,flexPercent,esopPercent
"Richmond, VA",VA,157950,193150,up,142800,160550,up,119350,141500,up,116400,140200,up,85100,113700,up,71250,83900,up,"10-20","12-18%","30%","-"
"Birmingham, AL",AL,156372,231000,up,151290,171203,up,134470,156393,up,126921,142555,up,87391,120218,up,76961,86102,stable,"9-20","12-21%","19%","15%"
"Huntsville, AL",AL,149168,199891,up,127700,158390,up,110271,141294,up,103477,129117,up,85034,121192,up,73111,84738,up,"9-20","12-21%","19%","15%"
"Montgomery, AL",AL,148899,185194,up,126805,154139,up,111003,140990,up,99190,130122,up,84130,122381,up,71908,84810,up,"9-20","12-21%","19%","15%"
"Cedar Rapids, IA",IA,162188,194186,up,149785,171487,up,127843,154955,up,112953,139454,up,87767,113422,up,77380,86965,up,"10-22","8-19%","26%","11%"
"Des Moines, IA",IA,153665,183720,up,141184,162678,up,116905,150085,up,110877,133305,up,81002,108774,up,71891,85765,up,"10-22","8-19%","26%","13%"
"Evansville, IN",IN,145110,184440,up,131240,158610,up,109230,149000,up,94290,115235,up,81090,109100,stable,70150,81970,down,"12-25","9-22%","31%","18%"
"Fort Wayne, IN",IN,149565,186115,up,137110,168940,up,101670,150870,up,99890,130180,up,82990,112750,up,71100,82280,up,"12-25","9-22%","31%","18%"
"Indianapolis, IN",IN,152020,201490,up,131744,183455,up,107298,161315,up,110770,155065,up,86100,118590,up,73850,85360,stable,"12-25","9-22%","31%","18%"
"Lexington, KY",KY,163632,196320,up,145300,170745,up,111367,152027,up,102721,111805,up,88850,102297,up,77268,87080,up,"9-21","9-18%","26%","13%"
"Louisville, KY",KY,162176,198336,up,142514,168767,up,108999,146195,up,102263,115620,up,87360,110237,up,76990,86245,up,"9-21","9-18%","26%","13%"
"Minneapolis, MN",MN,149005,192178,up,139857,165290,up,120008,152220,up,103594,119105,up,92281,116202,up,78950,87471,up,"9-22","10-21%","23%","14%"
"St Paul, MN",MN,150090,194991,up,142236,165060,up,117730,153310,up,100865,117740,up,86590,107655,up,79335,88250,up,"9-22","10-21%","23%","14%"
"Greenville, MS",MS,155270,191359,up,149827,164250,up,119945,141492,up,105284,123495,up,81204,109349,stable,73402,85122,up,"11-20","9-21%","38%","15%"
"Jackson, MS",MS,162492,190103,up,136200,153030,up,116440,144601,up,109561,132502,up,83905,108231,stable,71856,83204,stable,"11-20","9-21%","38%","15%"
"Biloxi, MS",MS,160903,193433,up,141877,157320,up,118230,140690,up,108399,129343,stable,82103,109442,stable,70553,81492,stable,"11-20","9-21%","38%","15%"
"Cincinnati, OH",OH,156440,187530,stable,134490,166670,stable,117720,156400,stable,106200,135310,up,85560,117060,stable,76590,85030,stable,"11-18","10-24%","25%","13%"
"Cleveland, OH",OH,161930,198200,up,133830,164015,up,125150,154305,up,110180,138100,up,84170,119940,up,75808,86105,up,"11-18","10-24%","25%","13%"
"Columbus, OH",OH,156990,191115,up,131600,164120,up,114870,150470,stable,105100,132101,up,84290,114999,up,73120,84950,up,"11-18","10-24%","25%","13%"
"Allentown, PA",PA,156892,193100,up,132337,160392,up,119101,140112,up,115775,123501,up,88913,124326,up,72871,87565,stable,"10-23","11-24%","41%","15%"
"Harrisburg, PA",PA,155110,215890,up,133150,158565,up,125100,151990,up,117225,131505,up,87810,123157,up,73995,87190,down,"10-23","11-24%","41%","15%"
"Philadelphia, PA",PA,169710,219395,up,152600,191130,up,133110,168380,up,131385,156290,up,90120,134200,up,78995,91209,up,"10-23","11-24%","41%","15%"
"Pittsburgh, PA",PA,158220,197315,up,139630,167190,up,132195,155550,up,119730,141130,up,85315,127390,stable,77988,87301,up,"10-23","11-24%","41%","15%"
"Knoxville, TN",TN,153188,187700,down,132810,163111,stable,115612,138340,stable,105733,124720,up,83999,119135,up,70889,85214,down,"10-23","9-30%","31%","17%"
"Chattanooga, TN",TN,149810,180133,up,135910,169112,down,105310,137890,stable,100350,127145,up,78111,103288,up,66150,81180,up,"10-23","9-30%","31%","17%"
"Memphis, TN",TN,153005,186890,down,120138,163391,stable,119836,139922,up,101311,125192,stable,82290,119103,stable,69310,80900,down,"10-23","9-30%","31%","17%"
"Nashville, TN",TN,172811,230436,up,150199,190455,up,136130,165167,up,128355,141777,up,88745,130004,up,77190,87370,stable,"10-23","9-30%","31%","17%"
"Green Bay, WI",WI,143280,187260,up,127636,153675,up,102535,130285,up,94610,127655,up,82008,97990,up,66615,81345,up,"10-25","8-19%","24%","12%"
"Madison, WI",WI,137085,178630,up,123075,146050,up,102260,124995,up,90888,104180,up,78990,91927,up,69285,77560,up,"10-25","8-19%","24%","12%"
"Milwaukee, WI",WI,138638,179477,up,123290,144300,up,103927,124835,up,91255,104600,up,77760,94390,up,69920,78690,up,"10-25","8-19%","24%","12%"
"Charleston, WV",WV,138400,165900,up,122700,167550,up,125500,143400,up,91700,131300,up,78950,95700,up,58700,71250,up,"10-24","7-16%","36%","14%"
"Huntington, WV",WV,135000,155500,stable,124500,137000,stable,113850,129900,up,95700,114900,up,75100,96250,up,60100,67800,up,"10-24","7-16%","36%","14%"
"Fayetteville, AR",AR,128733,170286,up,121339,146686,up,108315,133929,up,99124,125685,up,85180,98940,up,63781,72694,up,"12-20","10-15%","35%","13%"
"Little Rock, AR",AR,136404,176733,up,129188,153915,up,113035,143561,up,105150,133350,up,92725,105925,up,65535,76919,up,"10-20","10-18%","35%","13%"
"Denver, CO",CO,162500,240650,up,157005,191800,up,140005,170550,up,138440,165005,up,109665,139455,up,85100,103550,up,"15-25","15-25%","40%","17%"
"Colorado Springs, CO",CO,152110,229990,up,149100,179005,up,131505,164101,up,130770,148650,up,103050,128900,up,79050,94500,up,"15-25","15-20%","40%","14%"
"Kansas City, KS",KS,165520,237000,up,152870,200000,up,121083,138699,down,114350,136353,up,93600,111050,stable,72700,90430,stable,"10-22","9-21%","43%","15%"
"Baton Rouge, LA",LA,154704,197232,up,147670,176461,up,131375,157689,up,120667,134772,up,101371,134032,up,80507,91275,up,"10-20","10-22%","40%","18%"
